Student	Condition	Stem_length	Leaf_surface	LAR	FW_Root	FW_Shoot	FW_Total_Plant	ratio_FW_Shoot_FW_Root	DW_Root	DW_Shoot	DW_Total_Plant	ratio_DW_Shoot_DW_Root
Student01	HL	22,4	75,11	243,31	0,935	2,343	3,278	2,506	0,059	0,250	0,309	0,809
Student01	HL	28,1	78,86	257,12	0,944	2,556	3,500	2,708	0,060	0,247	0,307	0,804
Student01	HL	21,5	169,37	302,55	1,366	3,846	5,212	2,816	0,077	0,483	0,560	0,863
Student01	HL	22,9	102,98	308,23	0,832	2,221	3,053	2,669	0,051	0,283	0,334	0,847
Student01	LL	7,9	46,17	116,95	1,209	1,801	3,010	1,490	0,078	0,317	0,395	4,094
Student01	LL	8,4	47,40	120,46	1,204	1,795	2,999	1,491	0,077	0,317	0,394	4,117
Student01	LL	7,8	44,71	110,18	1,086	1,896	2,982	1,746	0,076	0,330	0,406	4,318
Student01	LL	8,0	59,88	33,55	1,817	3,006	4,823	1,654	0,755	1,030	1,785	1,364
Student02	HL	8,6	25,33	236,51	0,612	1,000	1,613	1,633	0,032	0,075	0,107	0,701
Student02	HL	24,1	79,86	333,58	0,730	2,229	2,958	3,055	0,034	0,205	0,239	0,858
Student02	HL	22,2	53,901	283,69	0,572	1,575	2,147	2,752	0,029	0,161	0,190	0,847
Student02	HL	21,6	82,982	295,41	0,664	2,766	3,430	4,166	0,033	0,248	0,281	0,883
Student02	HL	18,7	89,958	272,77	1,005	3,133	4,137	3,118	0,051	0,279	0,330	0,845
Student02	HL	20,2	82,051	340,18	0,690	2,180	2,870	3,160	0,039	0,202	0,241	0,838
Student02	LL	7,2	45,41	132,91	1,150	1,900	3,050	1,652	0,085	0,257	0,342	3,020
Student02	LL	7,3	56,25	151,26	1,261	1,999	3,260	1,585	0,091	0,281	0,372	3,087
Student02	LL	7,0	64,42	155,59	1,137	2,315	3,452	2,036	0,088	0,326	0,414	3,705
Student02	LL	6,8	59,68	129,62	1,453	1,947	3,400	1,340	0,108	0,352	0,460	3,263
Student02	LL	8,7	33,35	121,55	0,738	1,690	2,428	2,291	0,053	0,221	0,274	4,177
Student02	LL	9,9	40,27	116,02	1,012	1,662	2,674	1,642	0,063	0,284	0,347	4,510
